,Media Sources,Tweet Polarity,Tweets Ago
0,@BBC,-0.7579,1
1,@BBC,-0.4767,2
2,@BBC,-0.7096,3
3,@BBC,0.0,4
4,@BBC,0.0,5
5,@BBC,0.0,6
6,@BBC,0.6808,7
7,@BBC,-0.296,8
8,@BBC,-0.4215,9
9,@BBC,-0.25,10
10,@BBC,0.5719,11
11,@BBC,-0.6369,12
12,@BBC,0.0,13
13,@BBC,0.0,14
14,@BBC,0.1779,15
15,@BBC,-0.509,16
16,@BBC,0.0,17
17,@BBC,0.5859,18
18,@BBC,0.6114,19
19,@BBC,0.0,20
20,@BBC,0.0,21
21,@BBC,-0.5423,22
22,@BBC,0.7964,23
23,@BBC,0.0,24
24,@BBC,0.5859,25
25,@BBC,0.0,26
26,@BBC,0.0,27
27,@BBC,0.0,28
28,@BBC,0.765,29
29,@BBC,0.636,30
30,@BBC,0.0,31
31,@BBC,0.7717,32
32,@BBC,0.6236,33
33,@BBC,-0.1779,34
34,@BBC,0.0,35
35,@BBC,0.1877,36
36,@BBC,0.3612,37
37,@BBC,0.4215,38
38,@BBC,-0.7181,39
39,@BBC,0.0,40
40,@BBC,-0.4023,41
41,@BBC,0.0,42
42,@BBC,0.0,43
43,@BBC,-0.8074,44
44,@BBC,0.2572,45
45,@BBC,0.0,46
46,@BBC,0.0,47
47,@BBC,0.4767,48
48,@BBC,0.5562,49
49,@BBC,0.0,50
50,@BBC,0.1759,51
51,@BBC,0.0,52
52,@BBC,0.0,53
53,@BBC,0.4215,54
54,@BBC,0.6239,55
55,@BBC,0.6705,56
56,@BBC,0.2263,57
57,@BBC,0.0,58
58,@BBC,0.6369,59
59,@BBC,0.5994,60
60,@BBC,-0.3818,61
61,@BBC,-0.2732,62
62,@BBC,0.0,63
63,@BBC,0.0,64
64,@BBC,0.0,65
65,@BBC,0.6908,66
66,@BBC,-0.9052,67
67,@BBC,0.4939,68
68,@BBC,0.3612,69
69,@BBC,0.6361,70
70,@BBC,-0.4019,71
71,@BBC,0.0,72
72,@BBC,0.4404,73
73,@BBC,-0.0191,74
74,@BBC,0.3182,75
75,@BBC,0.5719,76
76,@BBC,0.5859,77
77,@BBC,-0.8658,78
78,@BBC,0.5106,79
79,@BBC,0.0,80
80,@BBC,0.0,81
81,@BBC,0.0,82
82,@BBC,0.7157,83
83,@BBC,0.4389,84
84,@BBC,0.4019,85
85,@BBC,0.6369,86
86,@BBC,0.0,87
87,@BBC,0.4939,88
88,@BBC,0.6908,89
89,@BBC,0.4404,90
90,@BBC,0.0,91
91,@BBC,0.6486,92
92,@BBC,0.34,93
93,@BBC,0.0,94
94,@BBC,0.5719,95
95,@BBC,-0.2023,96
96,@BBC,0.674,97
97,@BBC,0.3802,98
98,@BBC,0.5267,99
99,@BBC,0.0,100
100,@CBS,0.9098,1
101,@CBS,0.34,2
102,@CBS,0.75,3
103,@CBS,0.0,4
104,@CBS,0.34,5
105,@CBS,-0.1511,6
106,@CBS,0.8293,7
107,@CBS,0.128,8
108,@CBS,-0.296,9
109,@CBS,-0.296,10
110,@CBS,-0.7964,11
111,@CBS,-0.6597,12
112,@CBS,0.3182,13
113,@CBS,0.0,14
114,@CBS,0.0,15
115,@CBS,0.0,16
116,@CBS,0.0,17
117,@CBS,0.0,18
118,@CBS,0.0,19
119,@CBS,0.0,20
120,@CBS,0.0,21
121,@CBS,0.0,22
122,@CBS,0.0,23
123,@CBS,0.0,24
124,@CBS,0.0,25
125,@CBS,0.0,26
126,@CBS,0.0,27
127,@CBS,0.0,28
128,@CBS,0.0,29
129,@CBS,0.0,30
130,@CBS,0.0,31
131,@CBS,0.0,32
132,@CBS,0.0,33
133,@CBS,0.807,34
134,@CBS,0.1139,35
135,@CBS,-0.4404,36
136,@CBS,0.0,37
137,@CBS,0.6514,38
138,@CBS,0.5562,39
139,@CBS,0.5411,40
140,@CBS,0.0,41
141,@CBS,-0.3818,42
142,@CBS,0.3182,43
143,@CBS,0.4019,44
144,@CBS,0.8622,45
145,@CBS,0.3612,46
146,@CBS,0.3182,47
147,@CBS,0.0,48
148,@CBS,0.0,49
149,@CBS,0.5411,50
150,@CBS,0.0,51
151,@CBS,0.7574,52
152,@CBS,0.5574,53
153,@CBS,0.1867,54
154,@CBS,0.4199,55
155,@CBS,0.4926,56
156,@CBS,0.3555,57
157,@CBS,0.0,58
158,@CBS,0.0,59
159,@CBS,0.9392,60
160,@CBS,0.3595,61
161,@CBS,-0.296,62
162,@CBS,0.1779,63
163,@CBS,-0.5562,64
164,@CBS,0.5093,65
165,@CBS,-0.296,66
166,@CBS,0.0,67
167,@CBS,0.0,68
168,@CBS,0.4767,69
169,@CBS,0.8478,70
170,@CBS,0.92,71
171,@CBS,0.4404,72
172,@CBS,0.4404,73
173,@CBS,0.836,74
174,@CBS,0.0,75
175,@CBS,0.6369,76
176,@CBS,0.7978,77
177,@CBS,0.9523,78
178,@CBS,0.5994,79
179,@CBS,0.4215,80
180,@CBS,0.8932,81
181,@CBS,0.0,82
182,@CBS,0.0,83
183,@CBS,0.8908,84
184,@CBS,0.0,85
185,@CBS,0.4926,86
186,@CBS,0.5093,87
187,@CBS,0.7579,88
188,@CBS,0.6467,89
189,@CBS,0.0,90
190,@CBS,0.636,91
191,@CBS,0.8834,92
192,@CBS,0.0,93
193,@CBS,0.7351,94
194,@CBS,0.0,95
195,@CBS,0.0,96
196,@CBS,0.4019,97
197,@CBS,0.9151,98
198,@CBS,0.6369,99
199,@CBS,0.1511,100
200,@CNN,-0.765,1
201,@CNN,0.5859,2
202,@CNN,0.0,3
203,@CNN,0.0,4
